,0
0,15961.565000000031
1,21063.511000000028
2,25321.490000000016
3,27439.472000000016
4,28696.474000000017
5,29785.483000000015
6,30033.487000000016
7,30292.494000000013
8,30333.502000000015
9,30378.516000000018
10,26888.52200000002
11,24369.533000000014
12,23110.53900000001
13,20161.555000000015
14,19036.558000000015
15,17512.563000000016
16,17349.572000000015
17,16621.575000000015
18,16474.578000000016
19,16116.584000000017
20,18687.594000000016
21,20156.602000000017
22,21559.61700000002
23,22208.62600000002
24,23621.636000000024
25,23860.647000000015
26,25050.654000000017
27,25890.666000000023
28,27263.67200000002
29,27176.68100000002
30,27824.696000000025
31,27449.707000000017
32,27853.72300000002
33,28668.72400000002
34,27935.71700000002
35,28780.71600000002
36,27818.71800000002
37,27651.71700000002
38,26978.712000000018
39,26826.708000000017
40,26463.70600000002
41,26478.70300000002
42,24631.699000000015
43,23703.693000000014
44,24668.694000000014
45,24138.687000000013
46,24389.682000000015
47,23815.68100000001
48,23670.67500000001
49,24282.67200000002
50,24832.673000000017
51,24297.667000000016
52,24471.67000000002
53,24306.66900000002
54,24739.66600000002
55,25134.665000000015
56,25395.659000000014
57,26378.658000000018
58,27008.655000000017
59,26835.654000000017
60,27245.654000000017
61,28641.649000000016
62,29386.651000000016
63,29989.648000000016
64,28258.645000000015
65,28266.64500000001
66,27692.64400000001
67,27473.64400000001
68,26909.642000000014
69,26696.644000000015
70,26124.643000000015
71,25510.646000000015
72,25121.648000000016
73,25348.645000000015
74,25676.648000000012
75,24702.64900000002
76,25086.649000000016
77,24709.648000000016
78,23961.645000000015
79,23785.646000000015
80,23570.650000000016
81,23222.64500000002
82,23451.64400000002
83,22919.638000000014
84,23646.642000000018
85,24273.637000000017
86,24392.647000000015
87,25182.646000000015
88,26368.644000000015
89,26774.641000000014
90,27601.637000000017
91,28223.634000000013
92,28042.634000000013
93,29016.632000000016
94,29006.633000000013
95,28417.637000000013
96,28470.630000000012
97,28283.630000000012
98,28557.621000000014
99,27371.62300000001
100,26975.62200000001
101,26404.62400000001
102,26161.62800000001
103,26741.62900000001
104,25803.626000000015
105,25424.626000000015
106,26067.62000000001
107,25116.61800000001
108,24723.618000000013
109,25751.613000000012
110,26000.61100000001
111,26272.60600000001
112,25906.60500000001
113,23548.60800000001
114,24528.607000000015
115,24510.608000000007
116,24547.602000000006
117,25714.600000000006
118,26299.60000000001
119,27314.59700000001
120,27707.599000000006
121,27888.59900000001
122,27677.60000000001
123,28682.59800000001
124,27873.601000000006
125,29051.600000000006
126,28827.603000000006
127,28867.60200000001
128,28690.599000000006
129,27375.593000000008
130,27407.592000000004
131,26339.601000000006
132,26724.601000000006
133,27319.600000000006
134,25946.601000000006
135,24397.601000000006
136,25001.600000000006
137,24002.60100000001
138,23206.60200000001
139,24213.59800000001
140,24197.59900000001
141,24561.602000000006
142,24526.60400000001
143,23711.607000000007
144,25720.60300000001
145,26152.59800000001
146,25973.59700000001
147,26510.60000000001
148,26686.60300000001
149,26927.60200000001
150,27346.599000000013
151,27077.606000000007
152,27258.607000000007
153,27859.605000000007
154,27060.607000000007
155,27685.603000000006
156,27050.608000000007
157,27840.606000000007
158,28260.606000000007
159,27090.607000000007
160,26089.60900000001
161,26289.60700000001
162,26911.603000000014
163,27947.599000000013
164,27151.600000000013
165,27189.59800000001
166,27771.597000000012
167,27212.595000000012
168,27244.59300000001
169,28446.59200000001
170,28447.59500000001
171,28802.59800000001
172,28364.60100000001
173,25956.60700000001
174,26965.60300000001
175,25964.606000000007
176,26150.606000000007
177,25952.604000000007
178,26184.60100000001
179,25164.60300000001
180,25407.60000000001
181,24599.60400000001
182,24991.602000000014
183,26179.60100000001
184,25607.59600000001
185,25583.59700000001
186,25346.60000000001
187,26537.59900000001
188,26934.59800000001
189,26742.59700000001
190,27717.59700000001
191,27148.596000000012
192,27528.59900000001
193,28909.59800000001
194,27333.600000000013
195,27699.60200000001
196,28449.60300000001
197,26842.609000000008
198,27004.610000000008
199,27782.611000000008
200,26791.611000000008
201,27597.608000000007
202,27391.60800000001
203,25465.607000000007
204,26259.60700000001
205,25480.60800000001
206,26468.60600000001
207,27077.60500000001
208,26879.606000000007
209,26080.607000000007
210,25450.611000000008
211,26053.60800000001
212,25596.613000000012
213,25757.617000000013
214,24748.62100000001
215,25148.618000000013
216,24010.61600000001
217,24798.614000000012
218,24825.612000000016
219,24827.610000000015
220,25199.612000000012
221,24851.60700000001
222,26024.606000000014
223,28161.60700000001
224,28123.608000000015
225,28326.608000000015
226,28650.613000000012
227,27474.613000000012
228,27271.615000000013
229,27029.62000000001
230,26388.62300000001
231,26935.625000000015
232,25923.62700000001
233,24803.62300000001
234,25025.62100000001
235,24406.624000000014
236,25189.625000000015
237,25750.626000000015
238,25597.62400000001
239,25595.62600000001
240,24776.631000000012
241,25144.632000000012
242,24588.62900000001
243,24000.62900000001
244,24294.637000000013
245,25317.634000000013
246,24782.630000000012
247,25220.62600000001
248,24475.623000000014
249,24897.61900000001
250,25479.61700000001
251,24293.61900000001
252,25455.619000000013
253,26591.62300000001
254,26254.619000000013
255,25701.617000000013
256,25696.61800000001
257,24313.619000000013
258,25667.61900000001
259,25892.61900000001
260,25528.61500000001
261,26361.609000000008
262,26176.606000000007
263,25378.60900000001
264,25759.607000000007
265,24555.611000000008
266,24943.612000000012
267,25958.60900000001
268,25940.61100000001
269,25402.60500000001
270,24937.61100000001
271,25367.608000000007
272,24784.607000000007
273,24018.608000000007
274,24413.607000000007
275,25377.608000000007
276,24763.610000000008
277,24539.61300000001
278,23527.61500000001
279,23350.612000000012
280,23455.62000000001
281,23193.62700000001
282,24368.62600000001
283,25324.62600000001
284,24584.622000000014
285,24547.62600000001
286,23917.63100000001
287,23105.63300000001
288,24005.64000000001
289,23813.64000000001
290,23600.64400000001
291,24542.64500000001
292,24102.652000000013
293,23634.657000000014
294,24614.656000000014
295,23423.659000000014
296,23448.659000000014
297,24828.64400000001
298,23423.634000000013
299,24161.632000000012
300,23202.619000000013
301,22772.61100000001
302,22211.598000000013
303,21580.579000000012
304,21158.568000000014
305,21593.553000000014
306,21593.541000000012
307,21142.535000000014
308,21131.52600000001
309,20100.52000000001
310,20247.514000000014
311,19662.50900000001
312,20231.50100000001
313,20584.491000000013
314,19719.490000000013
315,19788.480000000014
316,19804.46600000001
317,19110.470000000012
318,19922.469000000016
319,20092.477000000014
320,20670.47900000001
321,20669.478000000014
322,20486.477000000014
323,20705.471000000012
324,21324.515000000014
325,20655.56900000001
326,21200.634000000013
327,22282.685000000012
328,21766.725000000013
329,21782.789000000008
330,21392.83200000001
331,22144.864000000012
332,21885.900000000005
333,21510.930000000008
334,21597.954000000005
335,22384.003000000004
336,22394.976000000006
337,22049.957000000006
338,22176.943000000014
339,22113.921000000017
340,22186.91400000002
341,22281.894000000022
342,23377.864000000027
343,23816.848000000027
344,23284.850000000028
345,23607.83300000003
346,23522.81900000003
347,23665.78800000003
348,24262.76200000003
349,24778.736000000034
350,25521.72600000003
351,25746.68900000003
352,25308.684000000034
353,25515.665000000034
354,25920.664000000033
355,25263.642000000033
356,25578.62700000003
357,26138.597000000027
358,25706.58000000003
359,25289.58300000003
360,24991.566000000028
361,25061.55200000003
362,24625.547000000028
363,24140.54000000003
364,23835.54300000003
365,24043.55100000003
366,23421.55600000003
367,22942.570000000025
368,23104.574000000026
369,23058.566000000024
370,22836.577000000023
371,22783.581000000024
372,23487.58600000002
373,24022.590000000022
374,23740.605000000025
375,24058.603000000025
376,24296.594000000023
377,24405.594000000023
378,24490.59900000002
379,24707.58800000002
380,25606.568000000017
381,25225.575000000015
382,24436.589000000018
383,24169.605000000014
384,23905.56300000001
385,22791.522
386,22577.480000000003
387,22473.439000000002
388,21742.381
389,20996.333000000002
390,15196.296000000002
391,14847.24
392,14161.189
393,13430.139000000003
394,12731.080000000002
395,12869.031
396,12410.03
397,11924.014000000001
398,12005.011
399,11890.009
400,11787.006000000001
401,11665.005000000001
402,12220.003
403,12790.002
404,12730.002
405,12700.004
406,12665.003
407,12630.006000000001
408,13015.003
409,13170.003
410,13740.002
411,13670.004
412,13230.004
413,13610.002
414,13600.004
415,13405.004
416,13585.003
417,13950.002
418,13540.002
419,13705.004
420,13470.004
421,13475.003
422,13220.003
423,12610.004
424,12355.004
425,12660.005000000001
426,12410.004
427,11755.006000000001
428,11715.006000000001
429,11705.008000000002
430,11520.006000000001
431,11725.004
432,12115.004
433,12500.005000000001
434,12700.004
435,12320.002
436,12505.004
437,12895.004
438,14790.002
439,14795.001
440,14990.001
441,14980.003
442,14785.003
443,15180.002
444,15570.002
445,15575.001
446,15575.001
447,15960.002
448,15755.004
449,15950.004
450,16155.002
451,16545.002
452,16350.002
453,15570.002
454,15380.001
455,15575.001
456,15770.001
457,16685.003
458,16685.004
459,16880.004999999997
460,16685.006
461,16865.009
462,17265.008
463,17645.011
464,18035.011
465,18030.014000000003
466,18245.010000000002
467,18820.013
468,19025.011
469,18820.013
470,18830.011
471,18865.011
472,18910.009
473,19480.012000000002
474,20070.011000000002
475,20850.012
476,20650.013
