;0;1;2;3;4;5;6;7;TOT
0;1365.036;2118.105;138.026;326.112;5.003;0.001;480;0;4432.283
1;2182.034;2832.101;225.022;512.103;18.002;0.001;480;0;6249.263
2;1999.031;3479.095;239.023;774.096;23.001;0.001;480;0;6994.247
3;2014.032;4105.088;279.022;886.091;23.001;200;480;0;7987.234
4;2021.032;4158.092;305.022;1118.096;28;200;480;0;8310.242
5;2048.031;4295.092;319.023;1139.1;28;200;480;0;8509.246
6;2040.035;4393.087;367.02;1352.1;28;200;480;0;8860.242
7;2287.033;4552.09;380.02;1382.104;28;200;480;0;9309.247
8;2328.031;4736.083;401.02;1410.115;28;200;480;0;9583.249
9;2328.032;4782.083;415.021;1559.124;28;200;480;0;9792.26
10;2160.033;4026.082;477.016;1650.119;28;200;480;0;9021.25
11;1589.036;4110.081;498.013;1584.121;28;200;480;0;8489.251
12;1610.032;3976.08;498.013;1765.11;28;200;480;0;8557.235
13;1614.032;3837.083;479.015;1846.105;28;200;480;0;8484.235
14;1266.029;3885.082;506.012;1984.102;28;200;480;0;8349.225
15;1072.03;3676.085;478.013;1955.099;28;200;480;0;7889.227
16;1078.031;3184.086;492.012;2287.09;28;5;480;0;7554.219
17;915.031;3479.082;458.015;2247.095;28;5;480;0;7612.223
18;792.028;3443.09;450.015;2290.089;28;5;480;0;7488.222
19;840.03;3415.088;457.014;2323.086;28;5;480;0;7548.218
20;1021.029;4264.091;429.015;2310.086;173;5;480;0;8682.221
21;1212.029;4708.092;395.015;2183.081;173;5;480;0;9156.217
22;1121.028;4842.085;434.014;1716.087;173;5;480;0;8771.214
23;1309.028;4689.081;440.01;1645.085;173;5;480;0;8741.204
24;1319.025;5024.076;426.01;1466.078;318;5;480;0;9038.189
25;1288.028;5057.075;406.011;1480.074;318;5;480;0;9034.188
26;1307.026;5182.081;385.012;1412.071;318;5;480;0;9089.19
27;1562.025;4875.08;364.013;1247.073;318;5;480;0;8851.191
28;1782.026;4779.082;357.01;1278.065;318;5;480;0;8999.183
29;1993.024;4973.081;329.011;1080.061;318;5;480;0;9178.177
30;2064.022;4859.081;343.01;922.055;168.001;5;480;0;8841.169
31;2419.025;4713.083;350.01;958.046;168.001;5;480;0;9093.165
32;2330.024;4765.084;324.01;812.04;173;5;480;0;8889.158
33;2135.024;5494.078;311.01;572.037;173;5;480;0;9170.149
34;2517.024;5836.073;330.007;505.029;28;5;480;0;9701.133
35;2720.023;5648.073;302.006;489.021;28;5;480;0;9672.123
36;2718.023;5498.078;288.004;487.019;28;200;480;0;9699.124
37;2879.024;5853.073;281.003;391.014;28;200;480;0;10112.114
38;3113.022;5872.074;273.002;377.007;28;200;480;0;10343.105
39;2658.021;5807.069;273.001;364.002;173;200;480;0;9955.093
40;2395.021;5170.066;273.001;364.004;173;200;480;0;9055.092
41;2280.022;4655.066;273.001;390.002;173;200;480;0;8451.091
42;2670.022;4197.064;273.001;416.002;173;200;480;0;8409.089
43;2644.024;3996.06;273.001;403.003;173;200;480;0;8169.088
44;2509.023;3756.064;273.001;403.003;173;200;480;0;7794.091
45;2852.021;3090.062;286.001;390.004;173;200;480;0;7471.088
46;2917.02;3132.053;260.003;390.004;173;5;480;0;7357.08
47;2574.019;3249.054;286.001;390.004;173;5;480;0;7157.078
48;2189.019;2874.055;286.001;390.004;173;5;480;0;6397.079
49;2140.018;2963.049;299;390.004;28;5;480;0;6305.071
50;2415.018;3272.046;312;377.005;28;5;480;0;6889.069
51;2220.018;3204.047;312;403.004;28;5;480;0;6652.069
52;1830.018;3287.045;312;403.004;173;5;480;0;6490.067
53;2093.016;3589.044;312;390.005;173;5;480;0;7042.065
54;2020.019;3220.04;312;390.005;318;5;480;0;6745.064
55;1578.016;3568.039;299.001;403.004;318;5;480;0;6651.06
56;1583.014;3557.038;299.001;403.004;318;5;480;0;6645.057
57;1765.015;3163.042;299.001;403.004;318;5;480;0;6433.062
58;1567.013;3358.038;299.001;416.003;318;5;480;0;6443.055
59;1559.013;3545.038;273.003;403.004;318;5;480;0;6583.058
60;1754.012;3849.035;273.003;416.004;318;5;480;0;7095.054
61;2009.009;3410.029;273.003;429.003;318;5;480;0;6924.044
62;2144.009;3605.028;273.003;416.004;173;5;480;0;7096.044
63;2136.011;3907.026;286.002;416.005;23.001;5;480;0;7253.045
64;2292.01;4034.022;299.001;442.003;28;5;4230;0;11330.036
65;2292.01;4117.019;299.001;455.002;28;5;4230;0;11426.032
